단축코드,한글 종목약명,상장주식수
98120,마이크로컨텍솔,8312766
9520,포스코엠텍,41642703
95570,AJ네트웍스,45252759
6840,AK홀딩스,13247561
282330,BGF리테일,17283906
27410,BGF,95716791
138930,BNK금융지주,322088438
1465,BYC우,2153850
1460,BYC,6246150
1045,CJ우,2260223
00104K,CJ4우(전환),4226512
1040,CJ,29176998
11155,CJ씨푸드1우,200000
11150,CJ씨푸드,35930773
58820,CMG제약,138892244
590,CS홀딩스,1154482
12030,DB,201173933
16610,DB금융투자,42446389
5830,DB손해보험,70800000
990,DB하이텍,44398588
139130,DGB금융지주,169145833
1530,DI동일,25215672
215,DL우,1686115
210,DL,20955884
37550K,DL이앤씨우,2113885
37550L,DL이앤씨2우(전환),2111951
375500,DL이앤씨,38693623
155660,DSR,16000000
69730,DSR제강,14400000
17860,DS단석,5861404
17940,E1,6860000
365550,ESR켄달스퀘어리츠,213089000
50120,ES큐브,13564086
383220,F&F,38307075
7700,F&F홀딩스,39114367
78935,GS우,1784826
6360,GS건설,85581490
78930,GS,92915378
12630,HDC,59741721
294870,HDC현대산업개발,65907330
97230,HJ중공업,83274281
14790,HL D&I,37858601
24850,HLB이노베이션,72378055
204320,HL만도,46957120
60980,HL홀딩스,10169410
35000,HS애드,16567409
3560,IHQ,5527902
175330,JB금융지주,195083198
234080,JW생명과학,15834554
1065,JW중외제약우,341951
1067,JW중외제약2우B,209973
1060,JW중외제약,23285930
96760,JW홀딩스,73924942
105560,KB금융,403511072
432320,KB스타리츠,101414285
24120,KB오토시스,11500000
9070,KCTC,30000000
44180,KD,26717799
3620,KG모빌리티,195193522
16380,KG스틸,100008897
1390,KG케미칼,68469040
33180,KH 필룩스,18658120
1940,KISCO홀딩스,16176380
25000,KPX케미칼,4840000
92230,KPX홀딩스,4224646
40,KR모터스,29132868
93050,LF,29240000
3555,LG우,3021620
34220,LG디스플레이,500000000
3550,LG,157300993
51905,LG생활건강우,2099697
51900,LG생활건강,15618197
373220,LG에너지솔루션,234000000
32640,LG유플러스,436611361
11070,LG이노텍,23667107
66575,LG전자우,17185992
66570,LG전자,163647814
51915,LG화학우,7688800
51910,LG화학,70592343
79550,LIG넥스원,22000000
10120,LS ELECTRIC,30000000
680,LS네트웍스,78803016
6260,LS,32200000
229640,LS에코에너지,30624879
108320,LX세미콘,16264300
1120,LX인터내셔널,38760000
86960,MDS테크,87671788
23150,MH에탄올,7378526
35420,NAVER,162408594
181710,NHN,33766123
338100,NH프라임리츠,18660000
34310,NICE,37503477
8260,NI스틸,28600117
4255,NPC우,5280000
4250,NPC,36720000
456040,OCI,8952495
10955,S-Oil우,4021927
10950,S-Oil,112582792
950110,SBI핀테크솔루션즈,24052540
5090,SGC에너지,14409333
1380,SG글로벌,44964143
1770,SHD,1214878
2360,SH에너지화학,111133730
9160,SIMPAC,65429516
123700,SJM,15604898
25530,SJM홀딩스,14934008
03473K,SK우,566135
11790,SKC,37868298
18670,SK가스,9230244
1740,SK네트웍스,221277902
210980,SK디앤디,17078130
395400,SK리츠,270132679
34730,SK,73198329
402340,SK스퀘어,134749960
260870,SK시그넷,6128210
361610,SK아이이테크놀로지,71297592
100090,SK오션플랜트,59195568
96775,SK이노베이션우,1248426
96770,SK이노베이션,95735590
1515,SK증권우,3912514
1510,SK증권,472590171
28513K,SK케미칼우,2115429
285130,SK케미칼,17253783
17670,SK텔레콤,214790053
3570,SNT다이내믹스,33252697
64960,SNT모티브,14623136
100840,SNT에너지,7506711
36530,SNT홀딩스,16303886
5610,SPC삼립,8629009
465770,STX그린로지스,7171032
11810,STX,31017927
77970,STX엔진,23008904
71970,STX중공업,28552669
84870,TBH글로벌,20856819
2710,TCC스틸,26213697
24070,WISCOM,15326438
79940,가비아,13535684
78890,가온그룹,17410157
500,가온전선,7357946
399720,가온칩스,11488320
296520,가이아코퍼레이션,4667008
36620,감성코퍼레이션,90744892
860,강남제비스코,6500000
217730,강스템바이오텍,55937925
35250,강원랜드,213940500
114190,강원에너지,26123038
94480,갤럭시아머니트리,39229838
11420,갤럭시아에스엠,27549644
39240,경남스틸,26979604
53950,경남제약,35593402
2100,경농,19522575
9450,경동나비엔,14568592
267290,경동도시가스,5895406
12320,경동인베스트,2365023
11040,경동제약,30768766
50,경방,27415270
214390,경보제약,23906860
12610,경인양행,41616365
9140,경인전자,1570797
24910,경창산업,35819005
13580,계룡건설,8930907
12205,계양전기우,1169079
12200,계양전기,27222829
2140,고려산업,24939425
198440,고려시멘트,31979960
49720,고려신용정보,14300000
10130,고려아연,20908588
2240,고려제강,25000000
14570,고려제약,11000000
348150,고바이오랩,18934174
950190,고스트스튜디오,13579892
98460,고영,68654755
35290,골드앤에스,46450564
215000,골프존,6275415
121440,골프존뉴딘홀딩스,42836818
366030,공구우먼,22653850
76340,관악산업,4871460
9290,광동제약,52420851
86220,광동헬스바이오,10573865
14200,광림,90706696
17040,광명전기,43337615
29480,광무,47907203
17900,광전자,57943763
37710,광주신세계,7957190
26910,광진실업,6405405
421800,교보12호스팩,5980000
440790,교보13호스팩,4050000
456490,교보14호스팩,4200000
465320,교보15호스팩,3810000
30610,교보증권,113962961
339770,교촌에프앤비,24982540
53270,구영테크,27410405
7690,국도화학,9010616
5320,국동,67183597
66620,국보디자인,7500000
1140,국보,15856388
43650,국순당,17858304
6050,국영지앤엠,34895243
60480,국일신동,11090000
78130,국일제지,1127405871
307750,국전약품,49069269
2720,국제약품,21159832
243870,굿센,2892631
35080,그래디언트,14527584
114090,GKL,61855670
900290,GRT,67375000
204020,그리티,20147430
402490,그린리소스,8265944
114450,그린생명과학,20000000
83420,그린케미칼,24000000
186230,그린플러스,10820188
14530,극동유화,34869420
83450,GST,9317745
900070,글로벌에스엠,53743968
204620,글로벌텍스프리,56787848
19660,글로본,34790746
14285,금강공업우,589875
14280,금강공업,29329357
53260,금강철강,18720000
8870,금비,1000000
282720,금양그린파워,12119500
1570,금양,58050037
2995,금호건설우,292266
2990,금호건설,36953595
11785,금호석유우,3023486
11780,금호석유,27672679
214330,금호에이치티,213914131
1210,금호전기,38069709
73240,금호타이어,287260287
36190,금화피에스시,6000000
49080,기가레인,84883347
420770,기가비스,12675758
35460,기산텔레콤,14577340
92440,기신정기,29200000
270,기아,402044203
456700,길교이앤씨,900000
13700,까뮤이앤씨,45152280
308100,까스텔바작,6624733
4545,깨끗한나라우,366160
4540,깨끗한나라,37240693
407400,꿈비,12259474
187790,나노,30840830
286750,나노브릭,20694559
121600,나노신소재,12196078
247660,나노씨엠에스,4343920
39860,나노엔텍,26807627
91970,나노캠텍,37417493
417010,나노팀,19724328
244880,나눔테크,5020000
405920,나라셀라,12878076
288490,나라소프트,52414732
51490,나라엠앤디,14200000
137080,나래나노텍,11059422
190510,나무가,16264384
242040,나무기술,34606264
89600,나스미디어,11568163
293580,나우IB,95770000
257990,나우코스,5883892
138610,나이벡,10230743
130580,나이스디앤비,15400000
36800,나이스정보통신,10000000
